member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2025-10-18,2026,individual contribution,4051820261510631322,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862327791,HM804
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2025-10-18,2026,individual contribution,4051820261510631771,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862327940,HM805
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-11,2026,individual contribution,4080420261541056382,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875924044,HM1210
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-11,2026,individual contribution,4080420261541058240,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875924663,HM1211
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-21,2026,individual contribution,4080420261541058616,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875924788,HM1302
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-21,2026,individual contribution,4080420261541061322,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875925690,HM1303
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-21,2026,individual contribution,4080420261541056779,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875924176,HM1304
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-21,2026,individual contribution,4080420261541063106,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875926285,HM1305
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-21,2026,individual contribution,4080420261541047030,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875920926,HM1306
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-21,2026,individual contribution,4080420261541053171,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875922973,HM1307
